variable,description,scale_1,scale_3,scale_5,category
fossil_fuel_dependency,"Reliance on coal, oil, and gas for direct energy needs","Minimal fossil fuel use (<20%, mostly renewables/electricity)",Mixed fuel sources (40-60% fossil fuels),"Very high fossil fuel dependency (>80%, coal/oil dominant)",Energy Source
fuel_switching_potential,Ability to switch from high-carbon to lower-carbon fuels,Already using optimal low-carbon fuels,Some processes could switch with investment,Locked into high-carbon fuels (no alternatives),Energy Source
renewable_penetration,Current use of renewables or low-carbon feedstocks,"High renewable use (>50%, solar/wind/biomass)",Moderate renewable use (20-50%),Low or no renewable use (<10%),Energy Source
grid_decarbonization_dependency,Reliance on grid electricity and its likely carbon intensity,Uses renewable PPAs or own zero-carbon generation,Mixed grid with some renewable share,Heavy reliance on coal-intensive grid,Indirect Emissions
electrification_readiness,Potential to electrify processes currently using direct combustion,Already highly electrified,Some processes can electrify with technology change,Hard-to-electrify processes dominate (high-temp heat),Indirect Emissions
process_emission_intensity,Inherent process emissions from chemical reactions,"Low process emissions (assembly, fabrication, services)",Moderate process emissions (some chemical processing),"High process emissions (cement, steel, chemicals primary production)",Process
ccus_deployment,Current use of carbon capture technology,CCUS deployed or in advanced planning,Piloting or studying CCUS options,No CCUS plans or considerations,Process
material_efficiency_potential,Opportunity for lightweighting and efficient material use,Already optimized material use (industry best practice),Moderate improvement potential identified,"Significant waste, overdesign, or inefficiency",Material
circular_economy_adoption,Use of recycled materials and design for recyclability,"High recycled content (>50%, designed for circularity)",Moderate recycled content (20-50%),"Virgin materials only, no design for recycling",Material
product_lifetime_strategy,Design approach to product longevity,"Designed for long life, repair, and upgrade",Standard industry lifetime with some durability,Planned obsolescence or disposable design,Material
